0,1,2
cases,date,per_million
2020-01-30,1,0.001
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,1,0.001
2020-02-03,1,0.001
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,2,0.001
2020-03-03,0,0.0
2020-03-04,23,0.017
2020-03-05,2,0.001
2020-03-06,1,0.001
2020-03-07,3,0.002
2020-03-08,5,0.004
2020-03-09,4,0.003
2020-03-10,13,0.009
2020-03-11,6,0.004
2020-03-12,11,0.008
2020-03-13,9,0.006
2020-03-14,20,0.014
2020-03-15,11,0.008
2020-03-16,6,0.004
2020-03-17,23,0.017
2020-03-18,14,0.01
2020-03-19,38,0.027
2020-03-20,50,0.036
2020-03-21,86,0.062
2020-03-22,66,0.047
2020-03-23,103,0.074
2020-03-24,37,0.027
2020-03-25,121,0.087
2020-03-26,70,0.05
2020-03-27,160,0.115
2020-03-28,100,0.072
2020-03-29,37,0.027
2020-03-30,227,0.163
2020-03-31,146,0.105
2020-04-01,601,0.431
2020-04-02,545,0.391
2020-04-03,24,0.017
2020-04-04,515,0.37
2020-04-05,506,0.363
2020-04-06,1190,0.854
2020-04-07,533,0.383
2020-04-08,605,0.434
2020-04-09,809,0.581
2020-04-10,873,0.627
2020-04-11,848,0.609
2020-04-12,759,0.545
2020-04-13,1248,0.896
2020-04-14,1034,0.742
2020-04-15,835,0.599
2020-04-16,1108,0.795
2020-04-17,922,0.662
2020-04-18,1370,0.983
2020-04-19,1893,1.359
2020-04-20,924,0.663
2020-04-21,1541,1.106
2020-04-22,1290,0.926
2020-04-23,1707,1.225
2020-04-24,1453,1.043
2020-04-25,1753,1.258
2020-04-26,1607,1.153
2020-04-27,1561,1.12
2020-04-28,1873,1.344
2020-04-29,1738,1.247
2020-04-30,1801,1.293
2020-05-01,2394,1.718
2020-05-02,2442,1.753
2020-05-03,2806,2.014
2020-05-04,3932,2.822
2020-05-05,2963,2.126
2020-05-06,3587,2.574
2020-05-07,3364,2.414
2020-05-08,3344,2.4
2020-05-09,3113,2.234
2020-05-10,4353,3.124
2020-05-11,3607,2.589
2020-05-12,3524,2.529
2020-05-13,3763,2.701
2020-05-14,3942,2.829
2020-05-15,3787,2.718
2020-05-16,4864,3.491
2020-05-17,5050,3.624
2020-05-18,4630,3.323
2020-05-19,6147,4.411
2020-05-20,5553,3.985
2020-05-21,6198,4.448
2020-05-22,6568,4.714
2020-05-23,6629,4.757
2020-05-24,7113,5.105
2020-05-25,6414,4.603
2020-05-26,5843,4.193
2020-05-27,7293,5.234
2020-05-28,7300,5.239
2020-05-29,8105,5.817
2020-05-30,8336,5.982
2020-05-31,8782,6.303
2020-06-01,7761,5.57
2020-06-02,8821,6.331
2020-06-03,9633,6.913
2020-06-04,9889,7.097
2020-06-05,9471,6.797
2020-06-06,10438,7.491
2020-06-07,10864,7.797
2020-06-08,8442,6.059
2020-06-09,10218,7.333
2020-06-10,10459,7.506
2020-06-11,10930,7.844
2020-06-12,11458,8.223
2020-06-13,11929,8.561
2020-06-14,11502,8.255
2020-06-15,10667,7.655
2020-06-16,10974,7.876
2020-06-17,12881,9.244
2020-06-18,13586,9.75
2020-06-19,14516,10.418
2020-06-20,15403,11.054
2020-06-21,14831,10.644
2020-06-22,14933,10.717
2020-06-23,15968,11.46
2020-06-24,16922,12.144
2020-06-25,17296,12.413
2020-06-26,18552,13.314
2020-06-27,19906,14.286
2020-06-28,19459,13.965
2020-06-29,18522,13.293
2020-06-30,18641,13.378
2020-07-01,19160,13.75
2020-07-02,20903,15.001
2020-07-03,22771,16.342
2020-07-04,24850,17.834
2020-07-05,24248,17.402
2020-07-06,22251,15.969
2020-07-07,22753,16.329
2020-07-08,24879,17.855
2020-07-09,26506,19.022
2020-07-10,27114,19.459
2020-07-11,28606,20.53
2020-07-12,28732,20.62
2020-07-13,28498,20.452
2020-07-14,29429,21.12
2020-07-15,32676,23.45
2020-07-16,34975,25.1
2020-07-17,35252,25.299
2020-07-18,38697,27.771
2020-07-19,40425,29.012
2020-07-20,37132,26.648
2020-07-21,37740,27.085
2020-07-22,45720,32.812
2020-07-23,49310,35.388
2020-07-24,48916,35.105
2020-07-25,48611,34.886
2020-07-26,49981,35.87
2020-07-27,44457,31.905
2020-07-28,51596,37.029
2020-07-29,50294,36.094
2020-07-30,52783,37.88
2020-07-31,61242,43.951
2020-08-01,54735,39.281
2020-08-02,52972,38.016
2020-08-03,52050,37.354
2020-08-04,52509,37.684
2020-08-05,56282,40.392
2020-08-06,62538,44.881
2020-08-07,61537,44.163
2020-08-08,64399,46.217
2020-08-09,62064,44.541
2020-08-10,53601,38.468
2020-08-11,60963,43.751
2020-08-12,66999,48.083
2020-08-13,64553,46.327
2020-08-14,64732,46.456
2020-08-15,64030,45.952
2020-08-16,57711,41.417
2020-08-17,55018,39.484
2020-08-18,64572,46.341
2020-08-19,69672,50.001
2020-08-20,68900,49.447
2020-08-21,69876,50.148
2020-08-22,69239,49.69
2020-08-23,61408,44.07
2020-08-24,60975,43.76
2020-08-25,57224,41.068
2020-08-26,85687,61.495
2020-08-27,77266,55.451
2020-08-28,76472,54.881
2020-08-29,78761,56.524
2020-08-30,78512,56.345
2020-08-31,69921,50.18
2020-09-01,78357,56.234
2020-09-02,83883,60.2
2020-09-03,83341,59.811
2020-09-04,86432,62.029
2020-09-05,90632,65.043
2020-09-06,90802,65.165
2020-09-07,75809,54.405
2020-09-08,89706,64.379
2020-09-09,95735,68.706
2020-09-10,96551,69.291
2020-09-11,97570,70.023
2020-09-12,94372,67.727
2020-09-13,92071,66.076
2020-09-14,83809,60.147
2020-09-15,90123,64.678
2020-09-16,97894,70.255
2020-09-17,96424,69.2
2020-09-18,93337,66.985
2020-09-19,92605,66.459
2020-09-20,86961,62.409
2020-09-21,75083,53.884
2020-09-22,83347,59.815
2020-09-23,86508,62.084
2020-09-24,86052,61.756
2020-09-25,85362,61.261
2020-09-26,88600,63.585
2020-09-27,82170,58.97
2020-09-28,70589,50.659
2020-09-29,80472,57.752
2020-09-30,86821,62.308
2020-10-01,81484,58.478
2020-10-02,79476,57.037
2020-10-03,75829,54.42
2020-10-04,74442,53.424
2020-10-05,61267,43.969
2020-10-06,72049,51.707
2020-10-07,78524,56.354
2020-10-08,70496,50.592
2020-10-09,73272,52.585
2020-10-10,74383,53.382
2020-10-11,66732,47.891
2020-10-12,55342,39.717
2020-10-13,63509,45.578
2020-10-14,67708,48.592
2020-10-15,63371,45.479
2020-10-16,62212,44.647
2020-10-17,61871,44.403
2020-10-18,55722,39.99
2020-10-19,46790,33.58
2020-10-20,54044,38.785
2020-10-21,55839,40.074
2020-10-22,54366,39.017
2020-10-23,53370,38.302
2020-10-24,50129,35.976
2020-10-25,45148,32.401
2020-10-26,36470,26.173
2020-10-27,43893,31.5
2020-10-28,49881,35.798
2020-10-29,48648,34.913
2020-10-30,48268,34.64
2020-10-31,46963,33.704
2020-11-01,45231,32.461
2020-11-02,38310,27.494
2020-11-03,46253,33.194
2020-11-04,50210,36.034
2020-11-05,47638,34.188
2020-11-06,50356,36.139
2020-11-07,45674,32.779
2020-11-08,45903,32.943
2020-11-09,38073,27.324
2020-11-10,44281,31.779
2020-11-11,47905,34.38
2020-11-12,44879,32.208
2020-11-13,44684,32.068
2020-11-14,41100,29.496
2020-11-15,30548,21.923
2020-11-16,29163,20.929
2020-11-17,38617,27.714
2020-11-18,45576,32.708
2020-11-19,45882,32.928
2020-11-20,46232,33.179
2020-11-21,45209,32.445
2020-11-22,44059,31.62
2020-11-23,37975,27.253
2020-11-24,44376,31.847
2020-11-25,44489,31.928
2020-11-26,43082,30.918
2020-11-27,41322,29.655
2020-11-28,41810,30.006
2020-11-29,38772,27.825
2020-11-30,31118,22.332
2020-12-01,36604,26.269
2020-12-02,35551,25.514
2020-12-03,36595,26.263
2020-12-04,36652,26.304
2020-12-05,36011,25.844
2020-12-06,32981,23.669
2020-12-07,26567,19.066
2020-12-08,32080,23.023
2020-12-09,31521,22.621
2020-12-10,29373,21.08
2020-12-11,30031,21.552
2020-12-12,30254,21.712
2020-12-13,27071,19.428
2020-12-14,22065,15.835
2020-12-15,26382,18.933
2020-12-16,24010,17.231
2020-12-17,22890,16.427
2020-12-18,25152,18.051
2020-12-19,26624,19.107
2020-12-20,24337,17.466
2020-12-21,19556,14.035
2020-12-22,23950,17.188
2020-12-23,24712,17.735
2020-12-24,23067,16.554
2020-12-25,22273,15.985
2020-12-26,18732,13.443
2020-12-27,20021,14.368
2020-12-28,16432,11.793
2020-12-29,20549,14.747
2020-12-30,21822,15.661
2020-12-31,20035,14.378
2021-01-01,39114,28.071
2021-01-02,-1858,-1.333
2021-01-03,16504,11.844
2021-01-04,16375,11.752
2021-01-05,18088,12.981
2021-01-06,20346,14.602
2021-01-07,18139,13.018
2021-01-08,27503.0,0.0
2021-01-09,36867,26.458
2021-01-10,16311,11.706
2021-01-11,12584,9.031
2021-01-12,15968,11.46
2021-01-13,16946,12.162
2021-01-14,15590,11.188
2021-01-15,15158,10.878
2021-01-16,15144,10.868
2021-01-17,13788,9.895
2021-01-18,10050,7.213
2021-01-19,13816,9.915
2021-01-20,15244,10.94
2021-01-21,14545,10.438
2021-01-22,14256,10.231
2021-01-23,14849,10.657
2021-01-24,13203,9.475
2021-01-25,9102,6.532
2021-01-26,12689,9.106
2021-01-27,11666,8.372
2021-01-28,18855,13.532
2021-01-29,13082,9.388
2021-01-30,13044,9.361
2021-01-31,11436,8.207
2021-02-01,8635,6.197
2021-02-02,11039,7.922
2021-02-03,12899,9.257
2021-02-04,12408,8.905
2021-02-05,11713,8.406
2021-02-06,12059,8.654
2021-02-07,11831,8.491
2021-02-08,9110,6.538
2021-02-09,11067,7.942
2021-02-10,12923,9.274
2021-02-11,9309,6.681
2021-02-12,12143,8.715
2021-02-13,12194,8.751
2021-02-14,11649,8.36
2021-02-15,9121,6.546
2021-02-16,11610,8.332
2021-02-17,12881,9.244
2021-02-18,13193,9.468
2021-02-19,13993,10.042
2021-02-20,14264,10.237
2021-02-21,14199,10.19
2021-02-22,10584,7.596
2021-02-23,13742,9.862
2021-02-24,16738,12.012
2021-02-25,16577,11.897
2021-02-26,16488,11.833
2021-02-27,16752,12.022
2021-02-28,15510,11.131
2021-03-01,12286,8.817
2021-03-02,14989,10.757
2021-03-03,17407,12.492
2021-03-04,16838,12.084
2021-03-05,18284,13.122
2021-03-06,18754,13.459
2021-03-07,18599,13.348
2021-03-08,15388,11.043
2021-03-09,17921,12.861
2021-03-10,22854,16.402
2021-03-11,23285,16.711
2021-03-12,24882,17.857
2021-03-13,25320,18.171
2021-03-14,26291,18.868
2021-03-15,24492,17.577
2021-03-16,28903,20.743
2021-03-17,35871,25.743
2021-03-18,39726,28.51
2021-03-19,40953,29.391
2021-03-20,43846,31.467
2021-03-21,46951,33.695
2021-03-22,40715,29.22
2021-03-23,47262,33.918
2021-03-24,53476,38.378
2021-03-25,59118,42.427
2021-03-26,62258,44.68
2021-03-27,62714,45.008
2021-03-28,68020,48.816
2021-03-29,56211,40.341
2021-03-30,53480,38.381
2021-03-31,72330,51.909
2021-04-01,81466,58.465
2021-04-02,89129,63.965
2021-04-03,93249,66.921
2021-04-04,103558,74.32
2021-04-05,96982,69.601
2021-04-06,115736,83.06
2021-04-07,126789,90.992
2021-04-08,131968,94.709
2021-04-09,145384,104.337
2021-04-10,152879,109.716
2021-04-11,168912,121.222
2021-04-12,161736,116.072
2021-04-13,184372,132.317
2021-04-14,200739,144.063
2021-04-15,217353,155.987
2021-04-16,234692,168.43
2021-04-17,261394,187.593
2021-04-18,273802,196.498
2021-04-19,259167,185.995
2021-04-20,295158,211.824
2021-04-21,314644,225.809
2021-04-22,332921,238.926
2021-04-23,346786,248.876
2021-04-24,349691,250.961
2021-04-25,352991,253.329
2021-04-26,323023,231.822
2021-04-27,360927,259.024
2021-04-28,379308,272.216
2021-04-29,386555,277.417
2021-04-30,401993,288.496
2021-05-01,392488,281.675
2021-05-02,368060,264.144
2021-05-03,357316,256.433
2021-05-04,382146,274.253
2021-05-05,412431,295.987
2021-05-06,414188,297.248
2021-05-07,401078,287.839
2021-05-08,403405,289.509
2021-05-09,366494,263.02
2021-05-10,329942,236.788
2021-05-11,348421,250.049
2021-05-12,362727,260.316
2021-05-13,343144,246.262
2021-05-14,326098,234.029
2021-05-15,311170,223.316
2021-05-16,281386,201.941
2021-05-17,263533,189.128
2021-05-18,267334,191.856
2021-05-19,276110,198.154
2021-05-20,259551,186.271
2021-05-21,257299,184.654
2021-05-22,240842,172.844
2021-05-23,222315,159.548
2021-05-24,196427,140.969
2021-05-25,208921,149.935
2021-05-26,211298,151.641
2021-05-27,186364,133.747
2021-05-28,173790,124.723
2021-05-29,165553,118.811
2021-05-30,152734,109.612
2021-05-31,127510,91.509
2021-06-01,132788,95.297
2021-06-02,134154,96.278
2021-06-03,132364,94.993
2021-06-04,120529,86.499
2021-06-05,114460,82.144
2021-06-06,100636,72.223
2021-06-07,86498,62.077
2021-06-08,92596,66.453
2021-06-09,93463,67.075
2021-06-10,92291,66.234
2021-06-11,84332,60.522
2021-06-12,80834,58.012
2021-06-13,70421,50.539
2021-06-14,60471,43.398
2021-06-15,62224,44.656
2021-06-16,67208,48.233
2021-06-17,62480,44.84
2021-06-18,60753,43.6
2021-06-19,58226,41.787
2021-06-20,53449,38.358
2021-06-21,42640,30.601
2021-06-22,50848,36.492
2021-06-23,54069,38.803
2021-06-24,51667,37.08
2021-06-25,48698,34.949
2021-06-26,50040,35.912
2021-06-27,46148,33.119
2021-06-28,37566,26.96
2021-06-29,45951,32.977
2021-06-30,48786,35.012
2021-07-01,46617,33.455
2021-07-02,44111,31.657
2021-07-03,43071,30.911
2021-07-04,39796,28.56
2021-07-05,34703,24.905
2021-07-06,43733,31.386
2021-07-07,45892,32.935
2021-07-08,43393,31.142
2021-07-09,42766,30.692
2021-07-10,41506,29.787
2021-07-11,37154,26.664
2021-07-12,32906,23.615
2021-07-13,38865,27.892
2021-07-14,41733,29.95
2021-07-15,38949,27.952
2021-07-16,38079,27.328
2021-07-17,41157,29.537
2021-07-18,38164,27.389
2021-07-19,30093,21.597
2021-07-20,42015,30.153
2021-07-21,41383,29.699
2021-07-22,35342,25.364
2021-07-23,57090.5,0.0
2021-07-24,78839,56.58
2021-07-25,39361,28.248
2021-07-26,29689,21.307
2021-07-27,43654,31.329
2021-07-28,43509,31.225
2021-07-29,44230,31.742
2021-07-30,41649,29.89
2021-07-31,41831,30.021
2021-08-01,40134,28.803
2021-08-02,30549,21.924
2021-08-03,42625,30.59
2021-08-04,42982,30.847
2021-08-05,44643,32.039
2021-08-06,38628,27.722
2021-08-07,39070,28.039
2021-08-08,35499,25.476
2021-08-09,28204,20.241
2021-08-10,38353,27.525
2021-08-11,41195,29.564
2021-08-12,40120,28.793
2021-08-13,38667,27.75
2021-08-14,36083,25.895
2021-08-15,32937,23.638
2021-08-16,25166,18.061
2021-08-17,35178,25.246
2021-08-18,36401,26.124
2021-08-19,36571,26.246
2021-08-20,34457,24.729
2021-08-21,30948,22.21
2021-08-22,25072,17.993
2021-08-23,25467,18.277
2021-08-24,37593,26.979
2021-08-25,46164,33.13
2021-08-26,44658,32.049
2021-08-27,46759,33.557
2021-08-28,45083,32.354
2021-08-29,42909,30.794
2021-08-30,30941,22.205
2021-08-31,41965,30.117
2021-09-01,47092,33.796
2021-09-02,45352,32.548
2021-09-03,42618,30.585
2021-09-04,42766,30.692
2021-09-05,38948,27.952
2021-09-06,31222,22.407
2021-09-07,37875,27.182
2021-09-08,43263,31.048
